* Fitting the markers with func = [0]/x + pol6
* TeleNo     ParticleNo       Z         A          a0             a1             a2           a3             a4             a5             a6             a7
    2              4         2         4       0.837367        11.7284      -0.544285     0.00931281    0.000115632   -3.38714e-06   -8.54505e-08    1.82429e-09
    2              5         2         6       0.456764        13.9077      -0.525365     0.00710583    9.58591e-05   -1.87163e-06   -4.92228e-08    8.35853e-10
    2              6         3         6       -1.73652        24.7765      -0.808687      0.0159919   -0.000128551   -7.83773e-07    1.93846e-08   -8.58024e-11
    2              7         3         7      -0.869027        26.0596      -0.770662       0.013815    -9.9816e-05   -6.83042e-07    1.49608e-08   -6.23405e-11
    2              8         3         8      0.0899538        27.1204      -0.734912      0.0120657     -7.847e-05   -5.78834e-07    1.15049e-08   -4.62585e-11
    2              9         3         9        3.24203        27.7084      -0.690184      0.0105025   -6.42155e-05   -4.22908e-07    8.19031e-09   -3.18665e-11
    2             10         4         7      -0.298408        36.9505       -0.83034      0.0116123   -6.84817e-05   -2.80331e-07    5.42311e-09     -1.821e-11
    2             11         4         9       -0.16007        39.8995      -0.723722     0.00726301   -2.12028e-05   -1.87081e-07    1.17075e-09   -3.20734e-13
    2             12         4        10       -0.10628        41.6897      -0.724033     0.00711253   -2.19102e-05   -1.61355e-07     1.0731e-09   -3.87948e-13
    2             13         5        10      -0.299342        53.3353      -0.658804     0.00306274    1.83875e-05   -1.20829e-07   -1.37931e-09    8.83057e-12
    2             14         5        11        1.45366        55.0025      -0.635358     0.00259198    1.90719e-05   -9.97934e-08   -1.35453e-09    7.92811e-12
    2             15         5        12      -0.592645        57.3694      -0.659307     0.00291827    1.67587e-05    -1.0378e-07   -1.18098e-09    7.14922e-12
    2             16         5        13        1.06246        58.8521      -0.647584     0.00269022     1.7608e-05   -1.01222e-07    -1.2521e-09    7.66901e-12
    2             17         6        12       -1.53675        71.1541      -0.688064     0.00248868     1.9098e-05   -1.00605e-07   -1.35268e-09    8.35044e-12
    2             18         6        13      -0.967911        72.9419      -0.661191     0.00212051    1.66494e-05   -7.26756e-08   -1.04778e-09    5.95297e-12
    2             19         6        14         1.4766        74.6465      -0.635455     0.00161117      1.797e-05   -5.06603e-08   -1.04126e-09    4.92858e-12
    2             20         6        15         2.4305        75.9981      -0.617625     0.00146872    1.73411e-05   -5.03584e-08   -1.00375e-09    5.11454e-12
    2             21         7        14       0.561843        89.0122      -0.626189      0.0010026    1.60841e-05   -2.23501e-08   -7.67327e-10    2.83076e-12
    2             22         7        15        1.12262        91.0315      -0.630202     0.00118755    1.65941e-05   -4.52527e-08   -9.49803e-10    4.91677e-12
    2             23         7        16        1.83654        92.8754      -0.603502    0.000841533    1.50748e-05   -2.04777e-08   -7.19273e-10    2.89951e-12
    2             24         7        17        2.17225        95.5491      -0.676743     0.00356846   -1.89873e-05   -1.45843e-08    1.70067e-09   -8.55468e-12
    2             25         8        16        2.07578         108.34      -0.635397    0.000952922    1.46096e-05   -2.83781e-08   -7.22895e-10     3.0435e-12
    2             26         8        17       -1.44343         111.25      -0.659974      0.0011731    1.75939e-05   -4.81897e-08   -1.05192e-09    5.16685e-12
    2             27         8        18    -0.00400556        113.655      -0.655209     0.00123639    1.54319e-05   -5.29336e-08    -9.1384e-10       5.12e-12
    3              0         1         1       0.240139        2.07004      -0.410138      0.0224584     0.00279617   -0.000161428   -3.22498e-05    2.35477e-06
    3              1         1         2       0.770349        2.00065      -0.126673     -0.0122771    0.000598403    0.000140137    6.37559e-06   -1.28628e-06
    3              2         1         3        0.47048        3.07085      -0.320727      0.0102768    0.000493976   -1.62859e-05   -1.42015e-06    5.51657e-08
    3              3         2         3       0.347226        8.27243      -0.513805     0.00889026    0.000362289     -6.663e-06   -4.98705e-07    1.31138e-08
    3              4         2         4       0.957518        9.11657      -0.502941      0.0102463    0.000210266   -6.65571e-06   -2.59398e-07    7.67281e-09
    3              5         2         6       0.481884        10.9466      -0.520636     0.00929617    0.000160615   -4.10144e-06   -1.41732e-07    3.40923e-09
    3              6         3         6       -0.29693        19.0832      -0.733306        0.01707   -0.000155013   -1.63551e-06    4.43378e-08   -2.45315e-10
    3              7         3         7      -0.122986        20.2023      -0.734493      0.0173001    -0.00017526   -1.69102e-06    5.64404e-08   -3.65164e-10
    3              8         3         8        1.23671        20.1317      -0.550421     0.00605617    4.76731e-05   -8.70149e-07   -1.47822e-08    2.04413e-10
    3              9         3         9        2.27916        20.8188      -0.538999     0.00547551    6.41621e-05   -9.25079e-07   -2.09827e-08    2.78288e-10
    3             10         4         7        2.27294        26.5985      -0.536127     0.00343601    5.04617e-05   -3.62287e-07   -1.06576e-08    1.06665e-10
    3             11         4         9       0.180589        30.3112      -0.587284     0.00400892    5.70304e-05   -5.13156e-07   -1.33235e-08    1.42322e-10
    3             12         4        10       0.505123        31.7644      -0.594348     0.00420974    4.83895e-05   -4.86744e-07   -1.09104e-08    1.19155e-10
    3             13         5        10       0.755123         40.861      -0.568407     0.00200277    4.95368e-05   -2.31511e-07   -9.17107e-09    8.59088e-11
    3             14         5        11       0.629399        42.6631      -0.592583     0.00262754    4.33953e-05   -2.37549e-07   -7.56668e-09    6.41189e-11
    3             15         5        12       0.641034        43.8442      -0.570902     0.00180827     5.1438e-05   -1.88771e-07   -9.20363e-09    7.80089e-11
    3             16         5        13       0.998178        45.0731      -0.570611     0.00200722    4.90657e-05   -2.51194e-07   -9.44374e-09    9.47717e-11
    3             17         6        12      -0.180439        54.2917      -0.577125    0.000897487    5.25303e-05   -4.59336e-08   -8.36668e-09    4.51382e-11
    3             18         6        13       0.271531        55.8123      -0.568671      0.0013129    4.13609e-05   -1.54332e-07   -7.09913e-09    6.34236e-11
    3             19         6        14       0.983963        57.2118      -0.535709    0.000667028    4.32295e-05    -1.5202e-07    -7.8661e-09    8.14494e-11
    3             20         7        15       0.520563        70.4614      -0.607132     0.00180557    4.42783e-05   -3.72409e-07   -1.04794e-08     1.2836e-10
